pays,poids1,nou1,v0t1,t12022,r36b,q27_i2,q27_i22,q27_i31,q27_i32,q27_i8,q27_i14,q27_i23,q31bv15_i4
1,0.5960901,10.0,1.0,11.0,9.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0
1,0.6180302,9.0,1.0,11.0,9.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0
1,0.6344278,99.0,1.0,11.0,9.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0
1,0.7011768,10.0,1.0,11.0,9.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0
1,0.7147624,5.0,1.0,6.0,13.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0
1,0.7814076,5.0,2.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1,0.7958369,8.0,1.0,11.0,,2.0,,,3.0,3.0,3.0,4.0,3.0
1,0.9269489,10.0,1.0,11.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
1,0.9269489,99.0,1.0,11.0,,,,,,,,,
1,1.2553788,99.0,1.0,12.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0
1,1.2577294,2.0,1.0,13.0,,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0
1,1.3259091,99.0,3.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1,1.7375057,1.0,1.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0
1,1.7804199,99.0,3.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,1.8925165,7.0,3.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0
1,2.0280263,99.0,1.0,13.0,12.0,,,,,,,,2.0
1,2.079922,99.0,3.0,,,3.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0
1,2.552109,1.0,3.0,,12.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1,0.3155506,0.0,1.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0
1,0.4436615,99.0,1.0,11.0,9.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0
1,0.4015296,2.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0
1,0.5024738,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0
1,0.4830206,5.0,1.0,2.0,2.0,,4.0,3.0,4.0,4.0,3.0,3.0,4.0
1,0.5723348,6.0,1.0,8.0,7.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0
1,0.6018623,7.0,1.0,11.0,,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0
1,0.6653569,99.0,1.0,11.0,9.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0
1,0.7555146,99.0,1.0,11.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0
1,0.8651115,4.0,1.0,8.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1,0.9739324,8.0,1.0,12.0,9.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0
1,1.26139,2.0,1.0,4.0,6.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0
1,1.2814054,4.0,1.0,4.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,,1.0
1,1.5517499,2.0,1.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
1,2.1615272,5.0,3.0,,13.0,2.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0
1,1.2274138,99.0,1.0,4.0,3.0,2.0,4.0,2.0,,2.0,2.0,3.0,2.0
1,2.7247829,99.0,3.0,,,2.0,4.0,2.0,2.0,3.0,4.0,1.0,2.0
1,0.6870886,10.0,1.0,11.0,9.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0
1,1.3516763,0.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0
1,1.6377203,99.0,3.0,,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0
1,1.9781393,5.0,1.0,13.0,12.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0
1,0.5177567,1.0,1.0,3.0,3.0,4.0,4.0,4.0,,4.0,4.0,,1.0
1,0.6714063,3.0,1.0,6.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0
1,0.7461432,4.0,1.0,11.0,9.0,4.0,2.0,2.0,1.0,4.0,2.0,4.0,1.0
1,0.8606494,4.0,1.0,7.0,5.0,,4.0,,3.0,,2.0,2.0,1.0
1,1.760437,99.0,3.0,,1.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0
1,2.0268862,5.0,1.0,13.0,12.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
1,0.6521554,1.0,1.0,6.0,6.0,2.0,2.0,2.0,,,,2.0,1.0
1,1.0969758,99.0,1.0,4.0,3.0,,,,,,,,
1,1.617841,99.0,3.0,,9.0,1.0,1.0,1.0,4.0,,3.0,1.0,1.0
1,0.3506935,8.0,1.0,8.0,7.0,,,,,,,,
1,0.7305769,10.0,1.0,10.0,8.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0
1,0.6365672,99.0,1.0,11.0,9.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,
1,1.1609633,3.0,1.0,4.0,12.0,2.0,3.0,,2.0,2.0,4.0,2.0,1.0
1,2.1764803,99.0,,,,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0
1,0.4443036,7.0,1.0,8.0,5.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0
1,0.5177826,7.0,1.0,8.0,7.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0
1,0.5464761,6.0,1.0,3.0,8.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0
1,0.6145605,2.0,1.0,6.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,2.0,1.0
1,0.6469908,8.0,1.0,11.0,9.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
1,0.6810387,8.0,1.0,11.0,8.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0
1,0.7725065,8.0,1.0,10.0,7.0,1.0,4.0,1.0,4.0,3.0,2.0,4.0,2.0
1,0.8572466,99.0,1.0,6.0,12.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0
1,0.8834971,99.0,1.0,12.0,6.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
1,1.0321429,6.0,1.0,7.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0
1,1.0525383,9.0,1.0,10.0,7.0,1.0,2.0,1.0,4.0,2.0,3.0,4.0,2.0
1,1.1197339,3.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0
1,1.1495775,10.0,1.0,10.0,9.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,2.0
1,1.3219143,6.0,1.0,7.0,5.0,2.0,4.0,1.0,4.0,1.0,2.0,4.0,2.0
1,1.4043796,6.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0
1,1.4127665,99.0,3.0,,,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0
1,1.4437498,2.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0
1,1.5273024,5.0,3.0,,,3.0,2.0,1.0,4.0,4.0,1.0,4.0,2.0
1,1.7852379,1.0,1.0,4.0,13.0,4.0,3.0,4.0,1.0,2.0,4.0,1.0,2.0
1,1.8809708,99.0,1.0,,,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0
1,1.8842098,99.0,1.0,13.0,12.0,2.0,4.0,1.0,,2.0,3.0,2.0,1.0
1,2.2934356,8.0,1.0,13.0,7.0,1.0,4.0,1.0,4.0,2.0,2.0,3.0,2.0
1,2.3228867,,1.0,13.0,12.0,4.0,4.0,,1.0,2.0,3.0,4.0,1.0
1,0.4471854,7.0,1.0,8.0,9.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,3.0
1,0.4936572,3.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,,1.0
1,0.6547221,6.0,1.0,11.0,9.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0
1,0.6703894,8.0,1.0,8.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0
1,0.7955558,6.0,1.0,7.0,5.0,1.0,2.0,1.0,4.0,4.0,2.0,4.0,4.0
1,0.867123,4.0,1.0,6.0,4.0,1.0,1.0,1.0,3.0,,3.0,2.0,1.0
1,0.8803225,5.0,1.0,7.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0
1,0.9161071,4.0,1.0,7.0,3.0,1.0,4.0,1.0,3.0,4.0,1.0,3.0,3.0
1,0.9262001,9.0,1.0,8.0,7.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0
1,1.0015482,6.0,1.0,7.0,5.0,2.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0
1,1.0449791,99.0,1.0,7.0,5.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0
1,1.0781374,6.0,1.0,7.0,,3.0,3.0,4.0,2.0,3.0,,2.0,2.0
1,1.1215651,99.0,1.0,4.0,,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
1,1.1643866,2.0,1.0,4.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0
1,1.6252875,2.0,1.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0
1,1.9258237,6.0,1.0,13.0,,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0
1,1.9801171,99.0,1.0,,6.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0
1,2.1781905,99.0,3.0,,,4.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0
1,0.55346,99.0,1.0,8.0,7.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0
1,0.6756123,5.0,1.0,7.0,5.0,,4.0,2.0,2.0,,3.0,,2.0
1,0.8881838,5.0,1.0,11.0,9.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0
1,0.8984404,8.0,1.0,11.0,9.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0
1,1.0262234,6.0,1.0,7.0,5.0,1.0,2.0,1.0,4.0,3.0,2.0,4.0,3.0
1,1.2406417,1.0,1.0,4.0,4.0,3.0,4.0,4.0,,3.0,3.0,1.0,1.0
1,1.37046,2.0,1.0,4.0,,4.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0
1,1.5831218,1.0,1.0,4.0,3.0,4.0,1.0,4.0,1.0,,4.0,1.0,1.0
1,0.759635,6.0,1.0,7.0,5.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0
1,0.582795,7.0,1.0,8.0,7.0,1.0,4.0,1.0,3.0,2.0,2.0,4.0,2.0
1,0.6905697,5.0,1.0,12.0,6.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0
1,0.7455465,5.0,1.0,8.0,7.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0
1,0.9476551,6.0,1.0,7.0,5.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0
1,0.9869758,7.0,1.0,10.0,9.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,3.0
1,1.181183,8.0,1.0,10.0,7.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0
1,1.519347,5.0,1.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0
1,0.3190769,0.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,4.0,1.0,1.0
1,0.4294654,99.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0
1,0.4354544,5.0,1.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
1,0.4851839,5.0,1.0,6.0,5.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0
1,0.4907913,7.0,1.0,8.0,7.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0
1,0.497517,5.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,1.0
1,0.5082368,4.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0
1,0.5322387,5.0,1.0,8.0,8.0,,3.0,2.0,3.0,3.0,3.0,3.0,3.0
1,0.55215,3.0,1.0,3.0,5.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0,2.0
1,0.5561973,3.0,1.0,6.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0
1,0.567594,6.0,1.0,8.0,7.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0
1,0.5703911,99.0,1.0,7.0,5.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0
1,0.5777385,7.0,1.0,8.0,9.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0
1,0.586812,3.0,1.0,6.0,3.0,3.0,,3.0,3.0,3.0,3.0,2.0,2.0
1,0.6107182,5.0,1.0,7.0,5.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,1.0
1,0.6111988,7.0,1.0,8.0,4.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,1.0
1,0.6130325,5.0,1.0,7.0,7.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,4.0
1,0.6161397,8.0,1.0,8.0,7.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0
1,0.6185264,6.0,1.0,7.0,6.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0
1,0.6200682,7.0,1.0,11.0,9.0,3.0,2.0,3.0,,3.0,3.0,3.0,2.0
1,0.6214533,8.0,1.0,8.0,5.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0
1,0.6218799,5.0,1.0,7.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,2.0
1,0.6224039,6.0,1.0,7.0,5.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0
1,0.6285726,3.0,1.0,5.0,5.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0
1,0.6293553,7.0,1.0,11.0,9.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0
1,0.6324787,7.0,1.0,8.0,7.0,2.0,2.0,4.0,3.0,1.0,2.0,4.0,3.0
1,0.643482,8.0,1.0,7.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0
1,0.6547221,8.0,1.0,11.0,9.0,1.0,3.0,1.0,4.0,2.0,2.0,4.0,3.0
1,0.6587933,99.0,1.0,9.0,8.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0
1,0.6869369,7.0,1.0,12.0,6.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0
1,0.6900733,4.0,1.0,5.0,7.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0
1,0.6930943,99.0,1.0,11.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0
1,0.7137467,8.0,1.0,7.0,5.0,1.0,3.0,1.0,4.0,2.0,2.0,3.0,4.0
1,0.7186174,4.0,1.0,6.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0
1,0.7375624,2.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0
1,0.7469159,4.0,1.0,6.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0
1,0.7537172,6.0,2.0,,,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0
1,0.7566653,8.0,1.0,11.0,9.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0
1,0.7672715,6.0,1.0,7.0,5.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0
1,0.7848584,3.0,1.0,5.0,12.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0
1,0.7903224,5.0,1.0,7.0,5.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0
1,0.7950714,7.0,1.0,8.0,5.0,2.0,3.0,1.0,4.0,1.0,2.0,3.0,2.0
1,0.7950714,7.0,1.0,8.0,7.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
1,0.7955558,6.0,1.0,7.0,5.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,1.0
1,0.7974405,10.0,1.0,11.0,9.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0
1,0.803553,2.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0
1,0.806017,7.0,1.0,6.0,12.0,3.0,4.0,1.0,1.0,3.0,1.0,4.0,1.0
1,0.8131576,6.0,1.0,7.0,5.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0
1,0.8213371,6.0,1.0,6.0,7.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0
1,0.8327711,9.0,1.0,10.0,7.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0
1,0.8393071,5.0,1.0,7.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
1,0.8401243,4.0,1.0,7.0,5.0,1.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0
1,0.8468931,6.0,1.0,7.0,5.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0
1,0.8488653,6.0,1.0,8.0,7.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0
1,0.8492875,7.0,1.0,10.0,5.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0
1,0.8554127,6.0,1.0,7.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0
1,0.8554787,5.0,1.0,7.0,5.0,2.0,4.0,,4.0,2.0,,3.0,2.0
1,0.8693745,3.0,1.0,7.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0
1,0.8710465,7.0,1.0,7.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0
1,0.8710465,7.0,1.0,7.0,5.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,2.0
1,0.899734,9.0,1.0,7.0,5.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0
1,0.9141288,8.0,1.0,10.0,7.0,1.0,2.0,1.0,4.0,1.0,2.0,4.0,2.0
1,0.9157711,4.0,1.0,7.0,5.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,1.0
1,0.9408607,5.0,1.0,12.0,6.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0
1,0.9408665,3.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
1,0.940944,6.0,2.0,,,,,,3.0,3.0,3.0,4.0,2.0
1,0.9504755,4.0,1.0,7.0,5.0,4.0,4.0,1.0,4.0,3.0,4.0,1.0,1.0
1,0.9517461,8.0,1.0,10.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0
1,0.9581103,5.0,1.0,11.0,9.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0
1,0.9673985,4.0,1.0,4.0,3.0,3.0,2.0,4.0,1.0,4.0,3.0,2.0,2.0
1,0.967851,5.0,1.0,7.0,5.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0
1,0.971945,6.0,2.0,,,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0
1,0.9785325,99.0,1.0,7.0,5.0,2.0,,1.0,3.0,2.0,2.0,3.0,
1,0.9835677,4.0,1.0,7.0,5.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0
1,0.9964165,6.0,1.0,7.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
1,1.0001963,5.0,1.0,12.0,6.0,2.0,4.0,,3.0,2.0,3.0,2.0,2.0
1,1.0262234,7.0,1.0,7.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
1,1.0504146,2.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0
1,1.0525255,4.0,1.0,4.0,5.0,4.0,,4.0,2.0,2.0,2.0,2.0,2.0
1,1.0611163,6.0,1.0,7.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0
1,1.066802,99.0,1.0,7.0,5.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
1,1.087642,2.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0
1,1.1463511,8.0,1.0,7.0,7.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0
1,1.1497555,5.0,1.0,7.0,,3.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0
1,1.177702,3.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,1.0
1,1.1883545,5.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0
1,1.2023711,2.0,1.0,7.0,5.0,2.0,4.0,3.0,2.0,1.0,4.0,2.0,1.0
1,1.2171366,4.0,1.0,7.0,5.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0
1,1.221848,99.0,1.0,12.0,6.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0
1,1.2571822,1.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,1.0,1.0
1,1.2808332,3.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0
1,1.3190277,5.0,1.0,14.0,13.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
1,1.3324096,3.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,3.0,2.0,3.0,2.0
1,1.3651283,6.0,3.0,,8.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0
1,1.3680966,99.0,1.0,4.0,,3.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0
1,1.37046,5.0,1.0,4.0,,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0
1,1.3732215,4.0,1.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0
1,1.3921916,6.0,1.0,13.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,1.4251515,4.0,1.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0
1,1.4354516,3.0,1.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0
1,1.5615332,7.0,3.0,,,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
1,1.5682049,3.0,3.0,,3.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0
1,1.5868306,99.0,1.0,13.0,12.0,,2.0,,2.0,2.0,2.0,3.0,2.0
1,1.6636953,99.0,1.0,,,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0
1,1.6740359,3.0,1.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0
1,1.7741761,3.0,1.0,13.0,12.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0
1,1.8618878,2.0,1.0,13.0,12.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0
1,1.8813477,5.0,3.0,,,2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0
1,1.9388554,1.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0
1,1.9781393,99.0,3.0,,,1.0,4.0,,4.0,1.0,2.0,,1.0
1,2.284332,99.0,1.0,13.0,12.0,1.0,4.0,1.0,4.0,2.0,2.0,3.0,2.0
1,2.5047741,2.0,3.0,,,4.0,4.0,2.0,3.0,4.0,4.0,2.0,1.0
1,3.1387119,99.0,1.0,13.0,12.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0
1,0.2438933,3.0,1.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0
1,0.3868922,5.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0
1,0.4199957,2.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0
1,0.4671271,3.0,1.0,2.0,2.0,2.0,4.0,2.0,,3.0,1.0,2.0,2.0
1,0.4969351,5.0,1.0,8.0,9.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0
1,0.4975144,99.0,1.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0
1,0.5125949,7.0,1.0,8.0,7.0,2.0,,2.0,4.0,2.0,3.0,2.0,2.0
1,0.5809187,2.0,1.0,6.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0
1,0.5887936,7.0,1.0,8.0,5.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0
1,0.5999199,99.0,1.0,7.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0
1,0.6102077,6.0,1.0,11.0,9.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0
1,0.6111988,5.0,1.0,8.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0
1,0.6179941,2.0,1.0,3.0,5.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0
1,0.6229902,7.0,1.0,7.0,5.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0
1,0.6308652,8.0,1.0,11.0,9.0,1.0,2.0,1.0,4.0,3.0,2.0,4.0,3.0
1,0.632104,3.0,1.0,5.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,,1.0
1,0.6538584,6.0,1.0,6.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0
1,0.6742563,4.0,1.0,7.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0
1,0.6913564,7.0,1.0,5.0,5.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0
1,0.7197635,5.0,1.0,7.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
1,0.7318954,6.0,1.0,7.0,5.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0
1,0.7385969,3.0,1.0,7.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0
1,0.7950714,6.0,1.0,8.0,5.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,3.0
1,0.7955058,4.0,1.0,6.0,5.0,3.0,4.0,3.0,,3.0,4.0,1.0,1.0
1,0.7968189,8.0,1.0,8.0,7.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0
1,0.8100956,7.0,1.0,7.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0
1,0.8224859,4.0,1.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0
1,0.8554787,99.0,1.0,7.0,4.0,,4.0,2.0,4.0,3.0,,4.0,1.0
1,0.8581182,5.0,1.0,7.0,5.0,,4.0,,3.0,,,2.0,2.0
1,0.8581182,6.0,1.0,7.0,5.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0
1,0.8710465,5.0,1.0,7.0,5.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0
1,0.8746012,4.0,1.0,6.0,5.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0
1,0.9138895,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0
