Poids,Poids1,nou1,r36a,r36ab,ivt1_2,Q27_i2,q27_i22,q27_i18,n43_i4,n43_i6,qcb1_i3,q27_i8,q27_i17,q27_i14,q27_i23,q32
1.1914591,0.9848993,99,1,9,14,1,1,3,1,4,3,2,1,2,2,1
0.6969997,0.5611702,5,1,5,8,3,3,2,3,2,5,3,2,3,5,2
1.2618197,1.0479048,10,1,9,12,1,1,4,1,4,1,1,1,1,1,1
1.0452665,0.9091371,8,1,9,12,1,1,4,1,4,3,2,2,4,3,2
0.7715127,0.7661877,99,2,15,12,3,1,1,3,2,3,3,3,2,2,1
1.0400652,1.3915097,8,1,7,9,1,1,4,1,4,2,2,2,2,2,3
1.1431726,1.4058483,99,1,3,10,3,3,1,3,2,4,2,1,3,1,3
1.011786,1.2290872,3,1,3,4,2,2,1,3,2,2,3,1,4,1,1
0.9436474,1.1686952,99,1,3,6,2,4,1,2,2,3,3,2,2,3,2
0.8018067,0.6423215,6,1,5,8,2,4,2,5,2,2,3,2,3,2,2
1.096802,1.3417393,5,1,3,7,2,1,1,2,2,2,1,1,2,1,1
1.1010077,1.3526261,7,1,3,9,2,3,1,2,3,3,1,2,2,3,2
1.1766145,0.8064424,0,1,4,2,4,4,1,3,2,4,4,1,4,1,1
1.195665,1.3045098,5,1,8,11,1,4,4,1,3,1,4,4,2,2,2
1.2652403,1.7172351,99,1,7,11,3,4,4,1,4,3,3,4,4,4,2
1.16631,0.9027439,8,1,5,11,1,2,3,2,3,2,1,2,2,3,1
0.9929373,0.780825,7,1,5,8,2,4,2,2,2,2,1,3,2,4,2
1.096802,0.9080716,99,1,9,11,1,2,3,1,4,1,4,3,2,2,3
0.8154168,1.1358634,8,1,7,9,3,4,1,2,2,2,3,2,2,2,2
1.16631,1.5347168,10,1,7,11,1,1,4,1,4,1,1,2,1,4,2
1.0400652,1.3915097,7,1,7,9,1,3,4,1,4,2,1,3,1,3,2
1.1964519,1.4374312,3,4,16,8,4,4,4,3,1,2,3,1,3,3,4
1.0534607,1.3902522,8,1,7,9,1,2,2,1,3,1,1,2,2,3,2
0.7680228,0.6323535,10,1,9,12,1,2,4,1,4,1,2,1,2,1,1
0.7557791,0.7920564,7,1,11,12,3,2,4,3,1,1,5,2,3,2,1
0.6751958,0.5735685,5,1,9,12,2,2,3,2,3,3,3,2,3,3,2
1.1284357,0.9002283,8,1,5,9,4,4,1,2,2,1,2,2,1,2,1
1.2990288,1.7308878,8,1,7,9,1,3,3,1,4,1,2,2,2,3,2
0.8660182,0.6865982,4,1,5,5,3,3,1,2,2,4,4,1,3,2,1
1.2466228,0.9761285,99,1,5,7,3,4,1,3,2,3,4,1,3,2,1
0.7077399,0.5684707,4,1,5,8,4,4,2,4,2,2,2,2,3,2,1
0.6969997,0.9540218,6,1,7,9,2,2,4,4,3,1,2,3,2,4,2
1.2510234,1.5285658,3,1,12,14,3,4,4,2,2,3,2,3,2,3,2
1.1914591,0.7930415,2,1,4,7,4,4,1,4,1,4,4,2,4,1,1
0.829338,0.569203,8,1,4,9,2,1,3,2,3,1,2,3,2,1,1
0.829338,1.1227919,9,1,7,7,3,1,2,1,1,2,2,2,2,1,1
0.7196902,0.8918006,0,1,3,4,2,2,1,3,2,3,2,2,3,1,1
0.9873759,0.849197,99,1,9,14,2,2,2,1,2,2,3,2,2,2,2
1.3433056,1.6931646,1,1,3,3,3,4,5,3,2,4,4,1,4,2,1
0.7852752,0.7932491,8,2,15,5,1,2,1,2,1,2,2,2,2,2,1
1.1724757,0.9245837,5,1,5,8,2,4,2,1,2,2,2,2,3,2,1
1.3055398,1.0548443,5,1,5,8,2,4,2,2,3,2,2,2,3,2,1
1.1514795,1.4290015,0,1,3,5,2,2,3,1,2,2,3,1,3,2,1
1.033092,0.8351832,4,1,5,14,4,4,2,4,2,3,2,1,3,2,1
1.1436223,0.991152,8,1,9,12,1,2,4,1,4,1,1,2,2,3,2
1.0073184,0.6321874,8,1,6,13,2,2,3,2,2,4,4,1,3,2,3
1.2582617,1.0762614,10,1,9,12,1,3,3,1,4,2,2,1,2,2,1
0.6661498,0.8275031,2,1,3,4,3,4,1,2,1,4,4,1,3,1,1
1.1622074,0.8920086,5,1,5,8,3,4,2,3,3,2,2,3,3,3,2
1.2300112,1.0116091,10,1,9,12,1,1,2,1,4,1,1,1,1,3,1
1.0916191,0.864416,8,1,5,8,2,4,5,2,3,1,2,3,2,4,2
0.6203051,0.4997132,5,1,5,8,2,4,2,2,2,2,1,2,2,4,3
1.3433056,1.1459117,8,1,9,11,1,3,4,1,4,2,3,2,4,3,2
0.9771301,0.8372734,7,1,9,11,1,2,3,1,4,2,2,2,2,3,2
0.6504614,0.8760202,7,1,7,11,1,2,4,1,4,1,1,2,1,3,1
1.2810627,0.8916482,99,1,4,12,1,3,5,1,4,3,3,2,2,2,2
0.9797516,1.2005192,8,1,3,3,4,4,2,4,1,3,4,2,4,2,1
1.16631,1.2645966,8,1,8,10,1,2,1,1,4,1,4,1,2,2,1
1.2457898,0.9862773,6,1,5,8,4,4,3,3,2,3,1,4,2,3,2
0.8548935,1.0645499,5,1,12,10,1,2,5,1,4,1,3,2,3,2,1
0.7090853,0.8709736,99,1,3,3,2,2,3,4,4,1,2,1,2,1,2
1.0153577,1.3371079,6,1,7,9,5,2,3,2,2,2,2,3,3,2,2
1.195665,0.9967525,9,1,9,12,3,4,3,3,3,3,3,3,3,3,3
1.011786,0.8318302,9,1,9,11,1,1,3,1,4,2,1,2,2,2,1
1.0579348,1.404973,9,1,7,9,2,4,4,1,5,2,2,4,2,4,2
1.1562697,1.1372812,99,2,15,7,1,1,1,1,4,1,2,2,1,4,1
0.5437247,0.7319301,7,1,7,8,3,4,4,3,2,2,2,3,2,3,2
0.6969997,0.9540218,8,1,7,11,2,4,4,1,3,2,2,2,2,3,2
1.1979022,1.6502331,6,1,7,14,3,3,3,3,2,2,3,3,3,3,2
1.1198162,1.4138229,8,1,3,12,1,2,1,1,4,2,2,1,2,3,1
1.0115001,1.23409,99,4,16,16,5,5,3,5,5,5,5,5,5,5,4
1.1581417,0.792641,3,1,4,8,2,4,4,3,2,5,2,2,2,2,2
0.8263154,0.7004369,8,1,9,12,1,2,2,1,3,2,3,2,2,2,2
1.004759,1.2233735,5,1,12,14,2,3,3,2,2,2,2,2,3,3,2
1.1754963,1.5274405,6,1,7,9,2,2,1,3,4,2,2,3,2,3,2
0.7560084,1.0108805,7,1,7,6,1,1,3,1,4,1,1,2,1,3,1
0.8937082,0.7480851,8,1,9,12,1,1,1,1,1,2,2,1,1,2,1
1.0507159,0.9065408,7,1,9,8,1,2,3,1,4,1,3,2,2,4,2
1.0985308,0.7340719,4,1,4,8,4,4,1,3,2,4,4,2,3,2,1
0.7733721,0.978865,5,3,14,11,2,3,3,1,4,2,4,3,1,5,3
0.6609027,0.5360113,6,1,5,8,4,4,2,3,2,2,3,4,2,4,2
1.16631,1.4277103,2,1,3,3,3,4,2,3,2,3,4,1,3,4,1
1.179646,1.5458232,8,1,7,9,1,1,4,2,3,2,1,4,2,4,2
0.7750183,0.5239081,99,1,4,12,2,1,1,1,3,1,2,1,2,2,2
0.9790153,0.7599908,6,1,5,8,4,4,1,1,2,2,1,2,4,4,2
1.2722293,1.6514127,5,1,7,5,5,3,5,2,2,3,1,2,5,3,1
1.0761764,0.8335462,5,1,5,8,2,2,5,1,5,2,2,2,2,3,2
1.0400652,1.3915097,6,1,7,8,3,4,4,3,2,2,3,4,3,2,2
0.9902097,1.3013784,10,1,7,11,1,4,4,1,4,1,1,4,1,4,1
1.0115001,0.8536752,9,1,9,12,5,1,2,1,3,2,4,2,2,2,2
1.0470737,1.3079712,8,1,3,4,1,1,2,2,1,1,1,1,1,1,2
0.6185783,0.5132538,2,1,5,7,4,4,3,3,2,3,3,2,3,2,2
1.2120644,1.0290221,10,1,9,4,1,4,1,2,1,1,1,1,2,1,2
1.0715605,0.8256798,4,1,5,8,3,4,2,1,2,2,2,2,1,2,1
1.019251,0.7028289,3,1,4,7,4,4,1,3,1,4,4,2,4,1,1
1.0115001,0.7975634,6,1,5,8,3,4,3,3,2,2,5,3,3,3,2
0.9833168,1.1926296,99,4,16,12,5,5,5,5,5,5,5,5,5,5,4
1.2300112,0.9451162,6,1,5,7,2,4,2,2,3,3,3,2,3,2,2
1.2990288,1.0897646,10,1,9,12,2,2,1,3,3,1,2,2,1,3,2
1.2582617,1.7094405,8,1,7,9,1,1,1,1,4,1,4,1,1,4,2
0.9255308,0.7432488,7,1,5,8,2,3,2,1,2,1,2,2,1,2,2
1.2006755,0.6829748,0,1,2,7,4,4,4,2,1,4,3,1,4,1,1
1.1276495,1.3905368,6,1,3,8,2,2,2,2,2,2,2,2,2,2,2
1.2717385,1.6655262,7,1,7,12,1,3,3,2,3,3,2,3,3,4,2
1.1622074,1.3802274,99,1,12,14,2,2,2,2,3,2,3,2,2,2,2
0.7852752,0.528381,7,1,4,6,3,3,3,2,2,2,2,1,2,2,1
1.16631,0.9027439,6,1,5,8,2,4,1,2,2,2,3,2,2,3,2
0.8122284,0.6301186,7,1,5,10,4,3,1,3,3,1,2,3,4,4,3
0.6725602,0.7431008,10,1,8,10,2,2,2,2,4,1,3,3,2,4,1
1.0442302,0.7375831,4,1,4,8,3,4,2,3,2,3,3,3,2,2,2
1.1051377,0.8599153,7,1,5,8,3,4,2,3,2,2,3,3,2,3,2
1.267136,1.0564219,7,1,9,12,1,2,1,1,4,1,3,2,1,2,2
0.8501834,1.0352206,3,1,12,14,2,3,4,1,2,2,2,1,2,1,1
1.0534607,1.3902522,7,1,7,9,3,4,2,3,2,2,1,4,3,4,2
0.6357958,0.7758227,6,3,14,8,3,4,2,1,3,2,1,4,2,4,3
1.0971347,0.7283469,5,1,4,4,4,1,4,4,2,2,2,2,3,2,1
1.1766145,0.9357111,10,1,5,11,1,1,2,1,3,1,1,4,1,3,2
1.0877792,0.8541365,6,1,5,8,2,1,2,2,2,2,2,2,2,2,2
1.1581417,1.2883457,8,1,8,9,1,2,4,2,4,2,3,2,1,1,2
1.2510234,0.9878762,99,1,5,8,3,3,1,3,2,2,2,2,2,2,2
1.195665,0.8025858,4,1,4,16,3,4,2,3,2,3,2,3,3,2,1
1.2256845,1.5876449,9,1,7,11,1,2,4,1,4,1,1,3,3,4,2
0.8793629,0.5726136,5,1,6,15,3,5,1,3,2,3,1,3,3,3,2
0.9982073,0.6713555,4,1,4,6,2,4,2,1,4,1,3,1,3,2,4
0.8876982,0.7090667,4,1,5,8,4,4,1,2,2,4,4,3,2,2,2
1.2510234,0.7176393,0,1,2,2,4,4,1,4,1,4,3,2,4,1,1
1.0621049,1.300869,7,1,13,14,2,4,4,4,3,3,4,3,3,3,2
0.8944203,0.7602321,99,1,9,15,1,1,2,1,4,2,1,1,1,3,2
0.8766447,0.7305022,8,1,9,12,1,2,1,2,3,3,2,2,3,2,2
1.004759,1.3441297,99,1,7,9,1,3,4,1,3,1,2,1,2,2,1
0.9867265,1.3520696,10,1,7,11,1,3,3,1,4,1,4,1,2,1,2
1.0153577,0.7865072,3,1,5,8,4,4,1,3,1,4,2,1,4,2,1
1.416674,1.7726371,5,1,3,5,2,3,1,2,3,3,4,1,3,1,1
0.9735067,0.6692728,4,1,4,7,3,3,1,1,2,1,4,1,1,1,1
1.195665,0.9312362,7,1,5,8,1,3,5,1,3,1,1,3,2,4,2
1.1914591,0.9848993,10,1,9,11,1,1,3,1,4,1,1,1,1,2,2
1.4761204,1.261909,8,1,9,12,1,1,1,1,4,1,3,1,2,1,1
0.9146116,0.7916808,10,1,9,11,1,1,2,1,4,1,2,2,1,3,1
1.2717385,0.9796879,7,1,5,8,3,2,2,2,2,2,1,4,2,4,2
1.2300112,0.9451162,6,1,5,8,5,4,2,2,3,3,2,2,5,3,3
0.829338,0.8545345,7,2,15,7,2,3,3,1,1,2,2,3,3,2,4
1.1051377,1.3599757,1,1,3,14,3,4,2,2,2,2,4,1,3,1,1
0.9982073,1.2319597,1,1,3,4,3,5,3,3,2,4,3,1,5,2,4
1.1581417,1.5635388,7,1,7,8,1,4,4,1,4,2,2,3,2,3,2
0.6961759,0.5276134,3,1,5,8,4,4,1,4,1,2,2,3,2,4,2
1.0213833,1.2296602,99,1,16,16,5,4,1,2,5,5,2,2,2,5,4
1.2337213,0.8651488,4,1,4,3,4,4,1,4,1,4,3,2,4,3,1
1.0415896,1.4268229,7,1,7,9,3,4,2,4,2,4,3,3,3,4,2
0.9863536,0.9684985,7,2,15,14,3,3,1,4,2,2,3,3,4,2,2
1.1766145,1.4798486,1,1,3,4,4,4,2,3,2,4,4,1,4,1,1
0.8568152,0.7406349,10,1,9,12,1,1,1,4,4,1,1,1,1,3,1
1.1437594,1.4265863,99,3,14,11,1,2,4,2,3,2,3,2,2,4,1
1.1622074,1.5164663,7,1,7,14,1,4,4,1,3,2,2,2,2,4,2
1.3433056,1.0705912,7,1,5,8,3,4,1,4,2,3,1,3,2,4,2
0.7077399,0.8990494,3,1,3,14,4,4,2,3,2,4,3,2,3,2,2
0.520501,0.7034257,7,1,7,9,2,3,4,2,3,2,2,3,2,3,2
1.0579348,0.8264266,3,1,5,6,4,4,2,4,2,3,3,3,3,2,1
1.3780217,1.7423687,99,1,3,8,2,4,4,1,3,2,2,2,3,3,1
1.3340329,1.1171364,7,1,9,12,2,2,2,2,2,2,2,2,2,2,2
1.2129997,0.7906559,5,1,6,13,2,4,4,1,2,4,4,2,2,4,2
0.6684597,0.8353859,99,1,12,14,5,2,2,2,2,3,4,1,2,2,1
0.9834155,0.9716334,99,2,15,8,3,4,4,5,2,2,3,2,3,2,2
1.1012502,0.7323045,0,1,4,4,4,4,3,3,1,3,4,2,4,1,1
0.6411879,0.4941896,5,1,5,15,2,4,1,2,2,2,3,2,2,3,1
1.3387421,1.1305811,10,1,9,12,3,1,2,1,4,2,4,2,1,2,1
1.4408748,1.1715521,5,1,5,8,2,4,2,2,3,2,3,2,2,4,2
0.9498323,1.2226038,6,1,3,7,3,4,2,3,4,2,2,2,3,1,2
1.0720278,1.3751694,2,1,3,7,4,4,2,3,2,4,4,2,3,3,1
1.0715605,1.2775953,99,1,12,14,3,5,3,2,5,2,5,3,2,3,2
1.16631,1.3968384,99,1,12,14,2,2,2,2,2,2,2,2,2,2,1
1.1198162,0.7704618,3,1,4,6,2,2,2,2,2,2,2,2,2,2,2
1.0971347,1.3076404,5,1,12,14,4,2,1,4,1,2,5,3,1,1,2
1.16631,1.5347168,8,1,7,9,1,1,4,1,3,1,2,3,1,4,1
1.2394936,1.3116647,99,1,11,10,5,5,5,2,5,5,2,2,3,1,2
1.033092,0.8351832,2,1,5,7,4,4,1,3,2,4,4,2,4,2,1
0.7396407,0.5732312,5,1,5,10,1,4,5,5,3,2,2,3,2,3,2
1.0571619,1.3464422,0,1,3,4,3,3,2,3,1,3,3,1,3,1,1
1.3478386,1.6891911,5,1,3,9,2,2,2,2,3,2,3,2,1,2,2
0.7168553,0.4894936,2,1,4,7,4,4,1,3,1,4,4,1,4,1,1
0.6819521,0.5306063,5,1,5,8,3,4,2,3,2,3,2,3,2,3,2
0.9929373,1.3274475,9,1,7,11,1,1,3,1,3,1,1,1,1,3,2
1.2259876,1.053478,99,1,9,11,1,2,4,1,4,1,5,5,2,3,1
1.0288551,1.2433946,5,1,3,4,5,2,4,4,2,3,3,2,4,2,1
0.6370121,0.7873349,6,1,16,4,4,2,2,2,2,2,2,2,3,2,2
1.2510234,1.5623488,99,1,3,14,1,4,2,1,3,2,3,1,3,2,2
1.179646,1.5458232,5,1,7,9,3,4,2,3,2,2,2,3,3,3,2
0.6562741,0.5460775,99,1,5,8,2,2,1,1,2,2,5,2,1,5,2
0.7250521,0.5720671,5,1,5,8,2,3,2,2,2,2,3,3,2,2,2
0.9251693,0.7164783,7,1,5,12,3,4,1,4,4,1,1,3,3,2,1
1.3055398,0.8939707,5,1,1,1,4,2,1,1,1,1,4,2,3,2,1
1.0149571,1.0435501,99,2,15,4,2,4,4,3,4,4,4,2,3,2,1
0.6072118,0.7753478,1,1,3,4,4,4,1,3,2,3,4,1,3,1,1
1.0150708,1.2489423,0,3,14,11,2,3,2,2,2,2,2,2,3,2,1
1.1040368,0.944534,9,1,9,11,1,1,1,1,4,1,3,1,1,1,1
1.2184837,1.5500256,0,1,3,4,3,4,2,2,2,4,3,1,3,1,1
0.7928738,0.6068109,3,1,5,8,3,4,1,3,2,3,3,2,2,5,2
1.2256845,0.8048617,3,1,4,6,3,4,2,3,2,4,3,2,4,2,1
0.9738113,1.1592555,6,3,14,8,2,2,2,2,4,2,2,2,2,2,1
0.7739118,0.9698926,5,3,14,14,5,3,3,2,2,2,3,2,3,2,1
1.2980295,1.1092465,99,1,9,11,1,3,4,1,4,1,2,3,2,3,1
1.0985308,0.8517398,2,1,5,6,4,4,1,3,1,4,4,2,4,2,1
0.9929373,0.780825,5,1,5,8,4,4,2,3,2,3,3,3,3,3,1
1.1754963,0.7743409,99,1,4,6,4,4,3,3,2,4,4,1,4,1,1
0.8336487,0.6653984,10,1,5,11,1,3,2,1,3,1,2,3,2,2,2
1.1437594,1.4581155,8,1,3,4,2,2,1,2,2,2,2,2,2,1,2
1.1622074,1.2495582,6,1,8,9,2,3,3,2,4,2,3,2,3,3,2
1.0460829,1.3176068,0,1,3,4,5,4,1,3,2,2,4,2,3,1,1
1.1437594,1.5674011,6,1,7,12,1,1,1,1,4,1,2,2,1,4,2
0.6793244,0.4702773,2,1,4,7,4,4,1,4,1,4,3,1,3,1,1
1.2121277,1.5119871,7,1,12,14,3,3,4,3,2,2,1,3,2,2,2
1.004759,1.3441297,8,1,7,9,2,2,2,2,2,2,2,3,2,3,3
1.1548647,0.9559094,10,1,9,11,3,3,3,2,2,4,3,3,3,3,4
0.8035817,0.5401405,0,1,4,2,4,4,4,4,2,4,4,2,3,2,1
1.0963875,0.8395628,8,1,5,8,4,3,3,1,1,3,1,4,2,2,1
0.691153,0.4749631,7,1,1,1,5,1,2,1,1,1,1,2,2,5,1
0.97076,0.8254077,8,1,9,12,2,3,2,2,3,2,2,2,2,3,1
1.1514795,1.4290015,2,1,3,16,3,4,2,5,2,5,4,2,3,1,1
1.0400652,0.5946018,6,1,2,2,2,3,1,2,3,3,1,1,2,2,1
0.9863536,1.158208,99,3,14,14,3,2,1,2,3,1,2,2,2,3,2
0.8344174,0.6913617,99,1,9,12,1,1,1,1,4,1,4,1,1,2,1
1.0522103,0.8702521,7,1,9,12,1,1,4,1,4,2,2,2,2,2,2
1.0534607,0.8177676,4,1,5,8,4,4,2,3,2,4,2,3,1,3,2
0.7371869,1.010752,8,1,7,11,2,2,4,1,3,2,2,2,4,2,2
1.2408595,1.0936403,9,1,9,12,1,2,3,1,3,2,3,2,2,3,2
1.2362272,1.5266445,2,1,3,7,2,2,2,2,2,3,2,2,2,2,1
1.2255336,0.9975879,5,1,5,14,1,4,4,1,2,1,2,3,3,3,2
1.1010077,0.855268,7,1,5,12,2,4,1,2,3,2,3,2,2,3,2
0.7677912,1.0108618,8,1,7,11,1,3,3,1,3,1,1,2,2,2,1
0.8876982,1.1214052,99,1,3,15,5,5,5,5,5,5,4,1,4,2,1
1.0153577,0.7865072,5,1,5,8,2,4,5,3,5,2,1,5,2,5,2
0.6224948,0.5057272,8,1,5,8,2,4,2,2,2,2,2,4,2,3,3
1.2256845,0.7688387,5,1,6,13,1,1,3,1,4,1,1,1,1,3,2
1.2300112,1.6067523,9,1,7,9,1,1,4,3,4,1,1,5,1,3,1
1.1781478,0.9856753,99,1,9,12,2,2,2,2,2,2,2,2,2,2,2
0.9829361,1.194823,5,1,12,7,2,3,2,3,2,2,3,1,2,1,2
1.3385803,1.1322846,8,1,9,12,1,1,1,1,2,2,2,2,2,3,2
